Mot1,Mot2,Poids
Matthieu,Sarah,0.0379947229551451
Matthieu,Sélim,0.0725353801870952
Maxence,Nico,0.0949868073878628
Maxence,P-A,0.0964945344892574
Maxence,Pablo,0.0759894459102902
Maxence,Stoud,0.223143611006408
Maxence,Tess,0.0964945344892574
Maxence,Yohan,0.189973614775726
Maxi,Mikael,0.0617414248021108
Maxi,Nico,0.0617414248021108
Maxi,Nico G.,0.0949868073878628
Maxi,Noémie,0.0617414248021108
Maxi,Pablo,0.0237467018469657
Maxi,Yacine,0.0237467018469657
Maxi,Yohan,0.0617414248021108
Merita,Norma,0.0345406572319501
Merita,Pablo,0.0345406572319501
Merita,Romane,0.0345406572319501
Merita,Sélim,0.0345406572319501
Merita,Tess,0.0345406572319501
Mikael,Nico,0.147229551451187
Mikael,Noémie,0.147229551451187
Mikael,Pablo,0.109234828496042
Mikael,Yacine,0.0237467018469657
Mikael,Yohan,0.147229551451187
Nico,Noémie,0.147229551451187
Nico,Pablo,0.198944591029024
Nico,Robert,0.0802110817941952
Nico,Yacine,0.134564643799472
Nico,Yohan,0.998944591029024
Noémie,Pablo,0.425857519788918
Noémie,Yacine,0.0237467018469657
Noémie,Yohan,0.147229551451187
Norma,Romane,0.0345406572319501
Norma,Tess,0.0345406572319501
P-A,Stoud,0.138710893328308
P-A,Tess,0.138710893328308
Pablo,Robert,0.11820580474934
Pablo,Sélim,0.0345406572319501
Pablo,Yacine,0.0712401055408971
Pablo,Yohan,0.156728232189974
Romane,Tess,0.0345406572319501
Sarah,Sélim,0.0379947229551451
Seb R.,Yannick,0.0949868073878628
Stoud,Tess,0.265359969845458
Yacine,Yohan,0.134564643799472
